Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
77,"Product Manager, Design Tools",Figma,"San Francisco, CA • New York, NY • United States",,https://boards.greenhouse.io/figma/jobs/5505263004?gh_jid=5505263004,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 6+ years of experience, indicating senior level; Has AI or technical relevance: matching ai",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
76,Growth Product Manager,AltaML,Canada,,https://remoteOK.com/remote-jobs/remote-growth-product-manager-altaml-1133729,"Role matches Product Manager; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching ai, technical product",No explicit worldwide or region-free remote availability found,2026-06-22T12:55:44.000Z
76,Tech Product Manager Data Plataform Products,Neon Pagamentos,Remoto,,https://remoteOK.com/remote-jobs/remote-tech-product-manager-data-plataform-products-neon-pagamentos-1130105,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching machine learning, analytics",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
76,"Product Manager, Relevance and Personalization",Airbnb,"San Francisco, United States",,https://careers.airbnb.com/positions/7905365?gh_jid=7905365,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, llm, ml",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
76,"Staff Product Manager, CX Automation",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/8001275?gh_jid=8001275,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, machine learning",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
76,Product Manager II - Security Graph Foundations,Datadog,"New York, New York, USA",,https://careers.datadoghq.com/detail/7950121/?gh_jid=7950121,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, llm, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
74,Product Manager,Sharebite,Remote,,https://remoteOK.com/remote-jobs/remote-product-manager-sharebite-1131048,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, B2B SaaS",,2026-06-22T12:55:44.000Z
74,"Product Manager, API Platform",Airbnb,United States,,https://careers.airbnb.com/positions/7607680?gh_jid=7607680,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching api",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
74,"Product Manager, Merchandising Platform",Airbnb,"San Francisco, CA",,https://careers.airbnb.com/positions/7724793?gh_jid=7724793,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
74,"Group Product Manager, Developer Infrastructure",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/8017607?gh_jid=8017607,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, machine learning, generative",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
73,Product Manager Retail Lending &amp; Enablement,RBC,"Port of Spain,",,https://remoteOK.com/remote-jobs/remote-product-manager-retail-lending-amp-enablement-rbc-1132348,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching agents",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
73,"Product Manager, Guest Discovery & Homepage",Airbnb,"San Francisco, CA, Los Angeles, CA, Seattle, WA, New York, NY",,https://careers.airbnb.com/positions/7968122?gh_jid=7968122,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
73,"Product Manager, AI Growth",Figma,"San Francisco, CA • New York, NY • United States",,https://boards.greenhouse.io/figma/jobs/5989185004?gh_jid=5989185004,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
72,"Group Product Manager, Financial Engineering",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/7789404?gh_jid=7789404,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, machine learning, generative",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
70,Senior Product Manager Checkout & Post Booking,Tripadvisor,POL Virtual,,https://remoteOK.com/remote-jobs/remote-senior-product-manager-checkout-post-booking-tripadvisor-1130888,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership)",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
66,Technical Product Manager,SupplyHouse.com,"Remote, India",,https://remoteOK.com/remote-jobs/remote-technical-product-manager-supplyhouse-com-1131077,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Has AI or technical relevance: matching technical product,Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
66,Product Manager Customer Care,RYZ Labs,Buenos Aires,,https://remoteOK.com/remote-jobs/remote-product-manager-customer-care-ryz-labs-1130495,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
66,Enterprise Product Manager,Accurate Background,"Remote, United States",,https://remoteOK.com/remote-jobs/remote-enterprise-product-manager-accurate-background-1130061,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai,Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
66,"Product Manager, EMEA",Airbnb,"London, United Kingdom",,https://careers.airbnb.com/positions/7775427?gh_jid=7775427,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
64,Product Manager Market Platform,Voltus,Remote,,https://remoteOK.com/remote-jobs/remote-product-manager-market-platform-voltus-1131098,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 3 years of experience (mid-level)",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
63,"Senior Product Manager, CX & AI Tooling",Coinbase,"Charlotte, NC",,https://www.coinbase.com/careers/positions/8008033?gh_jid=8008033,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, machine learning, ml",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
63,"Senior Product Manager, Scaled Abuse",Discord,San Francisco Bay Area,,https://job-boards.greenhouse.io/discord/jobs/8581126002,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching machine learning, ml",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
60,Staff Product Manager Enterprise,LiveKit,,$225.000 - $265.000,https://remoteOK.com/remote-jobs/remote-staff-product-manager-enterprise-livekit-1131531,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml, agents",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
60,"Senior Product Manager, Platform Analytics",Discord,San Francisco Bay Area,,https://job-boards.greenhouse.io/discord/jobs/8529800002,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching analytics,No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
60,"Staff Product Manager, Safety Experience",Discord,San Francisco Bay Area,,https://job-boards.greenhouse.io/discord/jobs/8502993002,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ml,No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
60,"Senior Product Manager, Notifications",Duolingo,"New York, NY",,https://careers.duolingo.com/jobs/8409034002?gh_jid=8409034002,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
59,Product Manager,PancakeSwap,Remote,$60.000 - $120.000,https://remoteOK.com/remote-jobs/remote-product-manager-pancakeswap-1129483,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority,Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
57,Principal Product Manager,Oportun,,,https://remoteOK.com/remote-jobs/remote-principal-product-manager-oportun-1131262,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ml,No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
57,Senior Product Manager AI Products,Boostlingo,United States,,https://remoteOK.com/remote-jobs/remote-senior-product-manager-ai-products-boostlingo-1130815,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai,No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
57,Director of Product Marketing,Cogent Security,All,,https://remoteOK.com/remote-jobs/remote-director-of-product-marketing-cogent-security-1130384,"Role matches Leadership Product (Director/Head/VP); Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml, agentic",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
