Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
61,"Staff Product Manager, Cards Monetization",Stripe,"Seattle, San Francisco, New York, US - Remote",,https://stripe.com/jobs/search?gh_jid=7980498,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ml, infrastructure, analytics","Location ""Seattle, San Francisco, New York, US - Remote"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Staff Product Manager, Dashboard",Stripe,"San Francisco, Seattle, NYC, Chicago, Atlanta, US Remote",,https://stripe.com/jobs/search?gh_jid=7913702,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching machine learning, infrastructure","Location ""San Francisco, Seattle, NYC, Chicago, Atlanta, US Remote"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Staff Product Manager, Enterprise (Industries)",Stripe,"San Francisco, Seattle, New York, Chicago, Atlanta, Remote",,https://stripe.com/jobs/search?gh_jid=7812856,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching api, infrastructure","Location ""San Francisco, Seattle, New York, Chicago, Atlanta, Remote"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Staff Product Manager, Local Processor Acquiring",Stripe,Dublin,,https://stripe.com/jobs/search?gh_jid=7953691,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, api, infrastructure","Location ""Dublin"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-22T12:56:11.000Z
61,"Staff Product Manager, Local Processor Acquiring",Stripe,Barcelona,,https://stripe.com/jobs/search?gh_jid=7977719,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, api, infrastructure","Location ""Barcelona"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-22T12:56:11.000Z
61,"Staff Product Manager, Support Experience",Stripe,"San Francisco, California, United States",,https://stripe.com/jobs/search?gh_jid=7920219,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, agents, infrastructure","Location ""San Francisco, California, United States"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Product Manager, CMS",Figma,"San Francisco, CA • New York, NY • United States",,https://boards.greenhouse.io/figma/jobs/6092802004?gh_jid=6092802004,"Role matches Product Manager; Requires 5+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, infrastructure","Location ""San Francisco, CA • New York, NY • United States"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Senior Product Manager, CX & AI Tooling",Coinbase,"Charlotte, NC",,https://www.coinbase.com/careers/positions/8008033?gh_jid=8008033,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, machine learning, ml",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
61,"Staff Product Manager, CX Automation",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/8001275?gh_jid=8001275,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, machine learning","Location ""Remote - USA"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Senior Product Manager, Scaled Abuse",Discord,San Francisco Bay Area,,https://job-boards.greenhouse.io/discord/jobs/8581126002,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching machine learning, ml","Location ""San Francisco Bay Area"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
